Cash,US Treasuries,Gold,Commodities,REITS,S&P 500,Global IG,Global HY,MSCI EAFE,MSCI EM
1.714285714,4.838095238,9.542857143,2.738095238,7.642857143,7.19047619,5.452380952,7.919047619,5.29047619,10.61904762
1.1,3.5,8.6,7.6,8.5,10.9,4.6,3.1,8.2,11.2
1.926729279,4.857929208,14.46888287,19.15151368,20.20211799,17.77765183,6.847672528,17.05205615,20.93707011,30.65352539
